,فروردین 96,اردیبهشت 96,خرداد 96,تیر 96,مرداد 96 ,شهریور 96,مهر 96 ,آبان 96 ,آذر 96,دی 96,بهمن 96,اسفند 96,فروردین 97,اردیبهشت 97,خرداد 97,تیر 97,مرداد 97,شهریور 97,مهر 97,آبان 97,آذر 97,دی 97,بهمن 97,اسفند 97,فروردین 98,اردیبهشت 98,خرداد 98,تیر 98,مرداد 98,شهریور 98,مهر 98,آبان 98,آذر 98,دی 98,بهمن 98,اسفند 98,فروردین 99,اردیبهشت 99,خرداد 99,تیر 99,مرداد 99,شهریور 99,مهر 99,آبان 99,آذر 99,دی 99,بهمن 99,اسفند 99,فروردین 100,اردیبهشت 100,خرداد 100,تیر 100,مرداد 100,شهریور 100,مهر 100,آبان 100,آذر 100,دی 100,بهمن 100,اسفند 100,فروردین 101,اردیبهشت 101,خرداد 101,تیر 101,مرداد 101,شهریور 101,مهر 101,آبان 101,آذر 101,دی 101,بهمن 101,اسفند 101,فروردین 102,اردیبهشت 102,خرداد 102,تیر 102,مرداد 102,شهریور 102,مهر 102,آبان 102,آذر 102,دی 102,بهمن 102,اسفند 102,فروردین 103,اردیبهشت 103,خرداد 103,تیر 103,مرداد 103
قیمت(تومان),4370000,4530000,4560000,4620000,4670000,4760000,4790000,4890000,5090000,5240000,5510000,5760000,5528000,5978900,6510700,6972800,7399900,8095800,8610900,9179400,9554700,9797300,9967200,11009000,11269100,12672500,13299700,13351200,13025900,12667700,12715700,12463700,13525700,13809100,14397100,15628500,15295900,16972700,18948100,20909400,23107800,24288100,26720000,27193100,26905500,27386000,28389100,30274700,29320000,28800000,29670000,30040000,30970000,31700000,31630000,32010000,32590000,32940000,33060000,35120000,34272700,36351500,39414500,41704900,42729900,43216900,43724900,46704800,48073700,51981400,57144400,65241400,66440000,69410000,70690000,70310000,69310000,69160000,69350000,69720000,68460000,69800000,72740000,81440000,81630000,84750000,85910000,87460000,88500000
تعداد معاملات,5384,16374,15362,14533,17984,15545,13815,14764,17776,19004,18392,12307,5046,19107,14886,13514,12006,10335,9357,6855,6814,6721,9343,13055,3423,12128,5986,4790,3292,2787,3401,4064,9537,10687,13264,10214,1243,11310,10778,14047,9080,8463,8656,4466,2555,3515,3917,5273,2100,3900,5100,5100,5500,7800,5500,7300,9800,9800,8500,6800,3427,10490,13874,10294,7825,6033,5416,8005,10184,10736,9729,6605,1757,4359,3394,2800,2904,2610,3133,3593,3550,5048,6183,6179,1508,4875,3872,3559,3665
رشد تعداد معاملات,8.5,6.4,0.8,2.5,6.1,9.2,7.2,7.5,8.4,8.9,9.3,9.7,2.8,-0.2,-0.1,-0.1,-0.1,-0.1,-0.3,0.0,0.0,0.4,0.4,-0.7,-73.3,254.3,-50.6,-20,-31.3,-15.3,22,19.5,134.7,12.1,24.1,-30,11.43,8.10,-0.05,0.30,-0.35,-0.07,0.02,-0.48,-0.43,0.38,0.11,0.35,-60.3,88.1,29.6,-0.6,8.4,41.6,29.8,33.5,33.8,0.5,-13.1,-19.9,-49.9,206.1,32.3,-25.8,-24,-22.9,-10.2,47.8,27.2,5.4,-9.4,-32.1,-0.733989402,1.480933409,-0.221381051,-0.175014732,0.037142857,-0.101239669,0.200383142,0.14682413,-0.011967715,0.421971831,0.224841521,-0.000646935,-0.755947564,2.232758621,-0.20574359,-0.080836777,0.029783647
شاخص اجاره,109.6,109,109.7,107.3,107.5,107,108.2,108.4,108.6,108.8,109,109.2,102.5,103.7,105.2,106.8,108.5,110.2,112,113.5,115,116.3,117.5,118.8,137.3,141.5,145.7,149.9,155,160,165.1,168.1,171,174,176.2,178.4,98.70,98.50,97.62,97.62,97.42,97.32,96.84,96.74,97.42,97.71,98.59,99.38,245.4,245.4,245.4,276.7,276.7,276.7,331.5,331.5,331.5,352.4,352.4,352.4,100.8,102.7152,105.4885104,110.2354934,115.3063261,120.6104171,129.0531463,134.344,137.7026,141.833678,146.7978567,151.9357817,101.5,103.6315,106.8440765,113.2547211,119.5969855,126.1748197,131.4741621,134.1036453,135.9810964,138.7007183,141.7521341,144.5871768,2.22,2.28,2.33,2.4,2.47
رشد شاخص اجاره,11.1,11.5,11,11,8.1,8.6,6.1,6.4,6.7,6.9,7.1,7.3,-1.0,5.8,13.6,8.8,3.7,3.5,2.7,13.3,12.9,3.6,2.5,6.4,3.77,3.058994902,2.96819788,2.882635553,3.402268179,3.225806452,3.1875,1.817080557,1.725163593,1.754385965,1.264367816,1.248581158,-1.3,-0.2,-0.9,0,-0.2,-0.1,-0.5,-0.1,0.7,0.3,0.9,0.8,-,0.0,0.0,12.8,0.0,0.0,19.8,0.0,0.0,6.3,0.0,0.0,0.8,1.9,2.7,4.5,4.6,4.6,7,4.1,2.5,3,3.5,3.5,1.5,2.1,3.1,6,5.6,5.5,4.2,2,1.4,2,2.2,2,41.8,43,42.5,43.2,43
نرخ ارز(ریال),37000,37000,37000,37000,38000,39000,35500,36000,36500,37000,37500,38000,42000,43500,45000,50000,75000,140000,150000,135000,120000,110000,120000,130000,131900,150100,131400,130650,119670,116750,114920,112900,134450,138090,136690,149950,158180,161930,170550,212670,223500,242810,292430,269320,255130,250570,244860,249110,248908,226775.25,237318.8,247813.1538,260861.3043,274651.1111,276243.9091,279696,284509.8846,288568.24,274951,259915.6522,262000,278000,257000,278000,278000,316000,327000,352000,384000,420000,450000,470000,348230,359560,349870,345310,344070,353340,348040,352430,356090,360230,356990,368900,637300,608700,603600,571860,587800
CPI,107.1,107.1,107.8,107.5,107.7,108,251.8,253.9,256.2,258.5,260.7,263,115.6,117.5,122.6,126.8,133.8,141.9,148.4,153.6,159.3,162.1,167.7,176.8,182.7,188.2,192.6,196.9,198.5,200.1,201.4,204.1,212.5,214.7,219.6,226.5,203.4,208.7,212.8,226.7,234.7,243.1,260.3,272.6,277.7,282.9,289.5,294.9,378.3,382,399.3,410,421.7,435.6,448.9,459.7,468.2,474.2,482,484.6,115.8723778,119.8061324,131.8195741,137.4513715,140.5335436,143.6524416,147.4447197,150.6666309,154.1292029,159.9397851,165.2857534,172.8915439,179.1,184.1,187.9,191.6,196.5,200.6,205.4,209.9,216,221.8,225.1,229.6,236.3,243,249.7,255.2,260.2
P/R,39872.26277,41559.63303,41567.91249,43056.84995,43441.86047,44485.98131,44269.87061,45110.70111,46869.24494,48161.76471,50550.45872,52747.25275,5315.384615,5435.363636,5208.56,5127.058824,5248.156028,5545.068493,5740.6,5399.647059,4976.40625,4923.266332,4885.882353,5073.271889,82076.47487,89558.30389,91281.40014,89067.37825,84038.06452,79173.125,77018.17081,74144.55681,79097.66082,79362.64368,81708.85358,87603.69955,154973.6575,172307.1269,194108.3955,214200.3728,237195.6446,249560.6823,275928.1411,281094.7749,276188.5371,280280.0933,287954.6578,304643.4181,119478.4026,117359.4132,120904.6455,108565.2331,111926.2739,114564.5103,95414.7813,96561.08597,98310.7089,93473.32577,93813.8479,99659.47787,340006.9444,353905.751,373637.8479,378325.5168,370577.2394,358318.1375,338813.1268,347650.8069,349112.5077,366495.4666,389272.7133,429401.154,654581.2808,669777.0466,661618.335,620812.9721,579529.6573,548128.3839,527480.0683,519896.3818,503452.3314,503241.8062,513149.2408,563258.8021,36770270.27,37171052.63,36871244.64,36441666.67,35829959.51
P/ER,1181.081081,1224.324324,1232.432432,1248.648649,1228.947368,1220.512821,1349.295775,1358.333333,1394.520548,1416.216216,1469.333333,1515.789474,1316.190476,1374.45977,1446.822222,1394.56,986.6533333,578.2714286,574.06,679.9555556,796.225,890.6636364,830.6,846.8461538,854.37,844.27,1012.15,1021.91,1088.49,1085.03,1106.48,1103.96,1006.00,1000.01,1053.27,1042.25,966.9932988,1048.150435,1110.999707,983.1852165,1033.90604,1000.29241,913.7229422,1009.694787,1054.580018,1092.948078,1159.401291,1215.31452,1177.945265,1269.979859,1250.217008,1212.203611,1187.220929,1154.19158,1145.002621,1144.456839,1145.478655,1141.497762,1202.396063,1351.207582,1308.118321,1307.607914,1533.638132,1500.176259,1537.046763,1367.623418,1337.152905,1326.840909,1251.919271,1237.652381,1269.875556,1388.114894,1907.934411,1930.414952,2020.464744,2036.141438,2014.415671,1957.32156,1992.587059,1978.265187,1922.547671,1937.650945,2037.592089,2207.644348,1280.872431,1392.311483,1423.293572,1529.395307,1505.614154
P/CPI,40802.98786,42296.91877,42300.55659,42976.74419,43361.18849,44074.07407,19023.03415,19259.551,19867.29118,20270.79304,21135.40468,21901.14068,47820.0692,50884.25532,53105.22023,54990.53628,55305.68012,57052.85412,58024.93261,59761.71875,59979.28437,60439.85194,59434.70483,62268.09955,61681,67335,69053,67807,65622,63307,63137,61067,63650,64318,65561,69000,75201.08161,81325.82655,89041.82331,92233.78915,98456.7533,99909.91362,102650.7876,99754.58547,96886.92834,96804.52457,98062.52159,102660.902,77504.62596,75392.67016,74305.03381,73268.29268,73440.83472,72773.18641,70461.1272,69632.36894,69607.00555,69464.36103,68589.21162,72472.14197,295779.7246,303419.36,299003.3937,303415.6701,304054.8108,300843.477,296551.1419,309987.6842,311905.2009,325006.0639,345730.9468,377354.4879,370965.9408,377023.3569,376210.7504,366962.4217,352722.6463,344765.7029,337633.8851,332158.1706,316944.4444,314697.9261,323145.2688,354703.8328,3.454506983,3.487654321,3.440528634,3.427115987,3.401229823
